 TIME                    	HPT2pin                  	HPT1pin                  	HPT2mout                 	HPT1mout                 	
  +2.5000000000000000E+00	  +3.5252419649603624E+01	  +1.4017359137737535E+02	  +1.0140956332097638E+05	  +1.1231000000000000E+05	
  +2.6250000000000000E+00	  +3.5252465789492554E+01	  +1.4017360298115685E+02	  +1.0140974499176025E+05	  +1.1231000000000000E+05	
  +2.7500000000000000E+00	  +3.5252474582016816E+01	  +1.4017360519240196E+02	  +1.0140977485148543E+05	  +1.1231000000000000E+05	
  +2.8750000000000000E+00	  +3.5252466186503668E+01	  +1.4017360308100174E+02	  +1.0140971451337931E+05	  +1.1231000000000000E+05	
  +3.0000000000000000E+00	  +3.5252469287979316E+01	  +1.4017360386099645E+02	  +1.0140970481103881E+05	  +1.1231000000000000E+05	
  +3.1250000000000000E+00	  +3.5252457057752501E+01	  +1.4017360078519894E+02	  +1.0140967543681199E+05	  +1.1231000000000000E+05	
  +3.2500000000000000E+00	  +3.5252453016664141E+01	  +1.4017359976889995E+02	  +1.0140967432765952E+05	  +1.1231000000000000E+05	
  +3.3750000000000000E+00	  +3.5252461101820415E+01	  +1.4017360180224733E+02	  +1.0140970748896219E+05	  +1.1231000000000000E+05	
  +3.5000000000000000E+00	  +3.5252467168181077E+01	  +1.4017360332788525E+02	  +1.0140972410262265E+05	  +1.1231000000000000E+05	
  +3.6250000000000000E+00	  +3.5252465590814403E+01	  +1.4017360293119097E+02	  +1.0140971193332218E+05	  +1.1231000000000000E+05	
  +3.7500000000000000E+00	  +3.5252462815067581E+01	  +1.4017360223311437E+02	  +1.0140970115294713E+05	  +1.1231000000000000E+05	
  +3.8750000000000000E+00	  +3.5252460657102411E+01	  +1.4017360169040458E+02	  +1.0140969603925863E+05	  +1.1231000000000000E+05	
  +4.0000000000000000E+00	  +3.5252460679527324E+01	  +1.4017360169604424E+02	  +1.0140969941084128E+05	  +1.1231000000000000E+05	
  +4.1250000000000000E+00	  +3.5252463354276657E+01	  +1.4017360236872082E+02	  +1.0140970898154692E+05	  +1.1231000000000000E+05	
  +4.2500000000000000E+00	  +3.5252463182133894E+01	  +1.4017360232542839E+02	  +1.0140970694952540E+05	  +1.1231000000000000E+05	
  +4.3750000000000000E+00	  +3.5252463109516881E+01	  +1.4017360230716585E+02	  +1.0140970474095123E+05	  +1.1231000000000000E+05	
  +4.5000000000000000E+00	  +3.5252462131573125E+01	  +1.4017360206122135E+02	  +1.0140970168778169E+05	  +1.1231000000000000E+05	
  +4.6250000000000000E+00	  +3.5252461634833665E+01	  +1.4017360193629563E+02	  +1.0140970086583712E+05	  +1.1231000000000000E+05	
  +4.7500000000000000E+00	  +3.5252461906693952E+01	  +1.4017360200466615E+02	  +1.0140970257842691E+05	  +1.1231000000000000E+05	
  +4.8750000000000000E+00	  +3.5252462570185394E+01	  +1.4017360217152856E+02	  +1.0140970476570491E+05	  +1.1231000000000000E+05	
  +5.0000000000000000E+00	  +3.5252462678104621E+01	  +1.4017360219866933E+02	  +1.0140970449652469E+05	  +1.1231000000000000E+05	
  +5.1250000000000000E+00	  +3.5252462514886240E+01	  +1.4017360215762130E+02	  +1.0140970364920555E+05	  +1.1231000000000000E+05	
  +5.2500000000000000E+00	  +3.5252463246328098E+01	  +1.4017360234157269E+02	  +1.0140970605838923E+05	  +1.1231000000000000E+05	
  +5.3750000000000000E+00	  +3.5252463081299673E+01	  +1.4017360230006943E+02	  +1.0140970584179195E+05	  +1.1231000000000000E+05	
  +5.5000000000000000E+00	  +3.5252463215781667E+01	  +1.4017360233389053E+02	  +1.0140970614319057E+05	  +1.1231000000000000E+05	
  +5.6250000000000000E+00	  +3.5252462194680170E+01	  +1.4017360207709223E+02	  +1.0140970294894303E+05	  +1.1231000000000000E+05	
  +5.7500000000000000E+00	  +3.5252462298765742E+01	  +1.4017360210326885E+02	  +1.0140970302540329E+05	  +1.1231000000000000E+05	
  +5.8750000000000000E+00	  +3.5252462248852659E+01	  +1.4017360209071614E+02	  +1.0140970310376326E+05	  +1.1231000000000000E+05	
  +6.0000000000000000E+00	  +3.5252462388098834E+01	  +1.4017360212573536E+02	  +1.0140970355625109E+05	  +1.1231000000000000E+05	
  +6.1250000000000000E+00	  +3.5252462414120579E+01	  +1.4017360213227960E+02	  +1.0140970354235570E+05	  +1.1231000000000000E+05	
  +6.2500000000000000E+00	  +3.5252462458776975E+01	  +1.4017360214351032E+02	  +1.0140970371567494E+05	  +1.1231000000000000E+05	
  +6.3750000000000000E+00	  +3.5252462389036552E+01	  +1.4017360212597117E+02	  +1.0140970348980413E+05	  +1.1231000000000000E+05	
  +6.5000000000000000E+00	  +3.5252463318246186E+01	  +1.4017360235965947E+02	  +1.0140970660857495E+05	  +1.1231000000000000E+05	
  +6.6250000000000000E+00	  +3.5252463296135687E+01	  +1.4017360235409888E+02	  +1.0140970649020243E+05	  +1.1231000000000000E+05	
  +6.7500000000000000E+00	  +3.5252462280524064E+01	  +1.4017360209868124E+02	  +1.0140970302063080E+05	  +1.1231000000000000E+05	
  +6.8750000000000000E+00	  +3.5252462217829049E+01	  +1.4017360208291396E+02	  +1.0140970289803651E+05	  +1.1231000000000000E+05	
  +7.0000000000000000E+00	  +3.5252462227500573E+01	  +1.4017360208534626E+02	  +1.0140970306328870E+05	  +1.1231000000000000E+05	
  +7.1250000000000000E+00	  +3.5252462366600440E+01	  +1.4017360212032870E+02	  +1.0140970350399218E+05	  +1.1231000000000000E+05	
  +7.2500000000000000E+00	  +3.5252462425350004E+01	  +1.4017360213510372E+02	  +1.0140970372586368E+05	  +1.1231000000000000E+05	
  +7.3750000000000000E+00	  +3.5252462433413882E+01	  +1.4017360213713172E+02	  +1.0140970359760366E+05	  +1.1231000000000000E+05	
  +7.5000000000000000E+00	  +3.5252462403129790E+01	  +1.4017360212951553E+02	  +1.0140970347078015E+05	  +1.1231000000000000E+05	
  +7.6250000000000000E+00	  +3.5252463340276549E+01	  +1.4017360236519991E+02	  +1.0140970660554286E+05	  +1.1231000000000000E+05	
